Lon,Lat,SST,SSS,SSH,Chl,O2,Nppv,MLD,East,North,EKE,Up
148.1,35.04,21.06682417,34.5048044,0.602746497,1.005169868,232.0422058,27.87651634,35.73172421,0.574246522,1.02906243,0.694364277,-2.23E-07
148.1,35.29,21.00721825,34.44841851,0.461704595,0.900013924,231.4204254,21.79629898,32.39389992,0.53767296,1.366956645,1.07883134,4.16E-07
148.1,35.54,20.64389674,34.39829551,0.322191805,1.011832714,234.7390137,22.73503304,27.57616912,0.528216236,1.551805245,1.343555955,2.70E-07
148.1,35.79,20.02401182,34.34450489,0.173177306,0.867663443,241.9335632,18.1434803,21.33563137,0.512613893,1.574031684,1.370174373,2.29E-07
148.1,36.04,19.09737481,34.26768366,0.027284118,0.701112151,245.4632721,16.3958168,15.11392763,0.417108976,1.466882242,1.162861705,-2.85E-07
148.1,36.29,18.10048612,34.17366367,-0.082592906,0.788425267,244.7380219,19.73030281,12.93849055,0.218854023,1.314545545,0.887963537,-1.50E-06
148.1,36.54,18.11693086,34.15605757,-0.104548638,0.983167708,243.3729095,25.68408394,13.30732897,-0.125496072,1.300775018,0.853882456,-5.17E-07
148.1,36.79,19.20017115,34.24641842,-0.014217699,1.100550652,241.7864838,28.96323776,15.72466246,-0.386541943,1.479358051,1.168957458,7.32E-07
148.1,37.04,20.15380838,34.31510925,0.093181236,1.140618801,240.4611359,30.25670052,20.88577398,-0.261841287,1.591575808,1.300837206,4.14E-07
148.1,37.29,20.42369779,34.32908207,0.125581488,1.172958255,238.9024963,31.33318329,22.45948495,0.104684624,1.579907563,1.253533389,1.34E-07
148.1,37.54,20.21996413,34.3024008,0.06066702,1.181331635,237.2832489,31.30133629,21.28773181,0.454564525,1.489624951,1.2128057,3.35E-07
148.1,37.79,19.37290414,34.2536691,-0.031548653,1.022116631,236.3871384,28.07166386,18.07339986,0.50831155,1.269595755,0.935127007,-7.99E-07
148.1,38.04,18.60676172,34.1880756,-0.102069796,0.863678932,235.9230652,24.79527664,14.800894,0.412213672,0.929821968,0.517244502,2.21E-07
148.1,38.29,17.62909084,34.14874395,-0.14684935,0.825321555,235.1004181,23.06464195,12.20725589,-0.029029942,0.378163932,0.071925349,-1.97E-07
148.35,38.29,19.42488162,34.25255712,0.022539848,0.725590289,233.6281891,21.13519669,17.89292198,0.292586516,1.041507781,0.585172663,-1.98E-06
148.6,38.29,20.68346553,34.37147056,0.299996076,0.620331407,232.1646729,19.71497917,35.66587491,0.394469738,1.232121388,0.836864745,-1.35E-06
148.85,34.79,27.34430716,34.26509688,0.778566566,0.092602305,207.6586609,3.567166567,10.46302403,-0.295965095,0.029172627,0.04422319,3.00E-08
148.85,38.29,20.47666317,34.46746402,0.523506062,0.560642958,231.0979156,20.17881584,20.97551399,0.397026843,0.82411174,0.418395237,1.14E-06
149.1,34.79,27.35552767,34.23370277,0.81622943,0.092004299,207.5053711,3.459101439,10.46302414,-0.220986825,0.117770392,0.031352521,-2.24E-07
149.1,38.29,19.77345912,34.55320994,0.638229781,0.545953393,230.7649536,20.64341927,28.37143029,0.415307204,0.399940418,0.166216206,3.23E-07
149.1,38.54,19.84765371,34.54129283,0.577597446,0.530941069,230.8621216,20.04708099,31.3187561,0.321794555,0.321547657,0.103472316,7.74E-08
149.35,34.79,27.47350672,34.23582458,0.858668341,0.09230344,207.8736115,3.559034109,10.4631976,-0.18361559,0.105593134,0.022432297,7.31E-08
149.35,38.54,19.72557216,34.59443622,0.600106676,0.566696763,231.0506592,22.40104294,61.3685218,0.401269224,0.015573132,0.080629756,-6.25E-07
149.6,34.79,27.51179759,34.29181502,0.894909428,0.093374632,209.1666718,3.736302137,10.51250299,-0.164138993,0.063172438,0.015466183,1.93E-07
149.6,35.04,26.91125446,34.26609802,0.933379445,0.091962263,209.0404968,3.518433094,10.48426872,-0.222375762,0.036873477,0.025405316,-6.67E-07
149.6,38.54,20.21773126,34.62884606,0.552545865,0.621951342,231.6133881,25.49059677,43.84209315,0.517038339,-0.370731263,0.202385156,2.67E-07
149.6,38.79,21.37947125,34.77961392,0.420314895,0.664462686,233.5712433,25.66100121,39.41180335,0.699236658,-0.639844282,0.449166304,1.48E-06
149.85,35.04,26.8241077,34.25325775,0.955127656,0.091711447,210.1733398,3.553684235,10.46388753,-0.181189828,-0.003387958,0.016420616,2.92E-07
149.85,38.79,21.89737108,34.93994183,0.236658032,0.838524938,240.3727112,35.72462082,22.35757128,0.901166134,-1.052772217,0.960214872,3.16E-06
149.85,39.04,19.25467067,34.65634537,0.076026151,0.966594815,249.8473663,51.79943085,11.98055585,0.683505572,-0.879427175,0.620286011,-1.47E-06
150.1,35.04,27.02383741,34.32403607,0.977796548,0.091122597,210.59552,3.510563612,10.46302785,-0.167305819,0.032322811,0.014518001,2.92E-07
150.1,35.29,26.91818492,34.31976615,1.008877854,0.091171928,210.1382904,3.471726179,10.46866046,-0.184825922,0.058304917,0.018780042,-1.18E-08
150.1,35.54,26.71705225,34.28248045,1.035043054,0.106024742,208.9535217,4.448936939,10.59786171,-0.12449343,0.047105531,0.008858773,-5.01E-08
150.1,35.79,26.80001471,34.25249693,1.042509702,0.143109471,208.7266693,7.125340462,10.94437122,-0.049191461,0.065576894,0.003360064,2.51E-07
150.1,36.04,26.83306016,34.20736694,1.029270079,0.158990666,209.1918182,8.136973381,11.59330845,0.050688034,0.11369017,0.007747366,-5.18E-07
150.1,37.04,20.44338057,34.65215725,0.966728396,0.412908286,232.7238312,15.77966118,14.43915388,0.40669981,-0.150806172,0.094073618,-3.31E-07
150.1,37.29,19.93320105,34.53433524,0.887141367,0.501883388,231.4001617,21.54594994,14.31455506,0.364613497,-0.256790419,0.099442161,6.78E-07
