Depth,2022,2023,2024
170.502497,-74.10087945,-75.25106505,-75.30362684
171.506634,-74.09108529,-75.2744299,-75.30290856
172.492514,-74.08795925,-75.29120431,-75.30562257
173.496651,-74.0931588,-75.33528343,-75.30381006
174.500789,-74.08935638,-75.36774965,-75.26298527
175.504926,-74.08998074,-75.38498153,-75.24445479
176.509063,-74.09836375,-75.41070214,-75.25947749
177.494943,-74.0976811,-75.43127847,-75.21223157
178.49908,-74.08654213,-75.43032275,-75.21610146
179.503218,-74.07883003,-75.45522129,-75.19666122
180.489098,-74.07574399,-75.43163146,-75.16257441
181.493235,-74.09480571,-75.42067625,-75.08985129
182.497372,-74.06799748,-75.40781294,-75.06517907
183.501509,-74.06205976,-75.36702518,-75.06991002
184.505647,-74.04211254,-75.33632361,-75.03998566
185.491527,-74.04096883,-75.21892291,-75.07235152
186.495664,-74.04172107,-75.37695889,-75.06945782
187.499801,-74.01199351,-75.47741886,-75.04846508
188.503938,-73.99724965,-75.48829595,-75.01062678
189.508076,-74.00778417,-75.47314468,-75.02696201
190.493956,-73.98866473,-75.41771698,-75.00792116
191.498093,-73.96751427,-75.46023025,-74.97289034
192.50223,-73.92668665,-75.51487378,-75.0030776
193.506367,-73.94311276,-75.49482478,-74.9560777
194.510504,-73.93477977,-75.40859762,-74.96968083
195.496385,-73.93795736,-75.18000342,-74.89220938
196.500522,-73.92991359,-75.42756963,-74.97705589
197.504659,-73.83231179,-75.39987894,-74.99359577
198.490539,-73.64188751,-75.30962486,-74.98661094
199.494676,-73.56339451,-75.3993694,-74.97786127
200.498814,-73.31427804,-75.42422048,-75.08170431
201.502951,-73.36468713,-75.41429984,-75.03556769
202.507088,-73.5536197,-75.44651195,-75.08990233
203.492968,-73.61989697,-75.43475364,-75.07087264
204.497105,-73.73137452,-75.46418885,-75.08820978
205.501243,-73.78564402,-75.48463916,-75.10860866
206.50538,-73.8014292,-75.4562439,-75.0832774
207.509517,-73.78858144,-75.44602801,-75.07754728
208.495397,-73.78295633,-75.44929391,-75.11784042
209.499534,-73.7717225,-75.41678498,-75.14627995
210.503672,-73.73174319,-75.42326719,-75.16014822
211.489552,-73.66115795,-75.40497908,-75.14998931
212.493689,-73.66257217,-75.38583325,-75.11197511
213.497826,-73.63864156,-75.36485872,-75.10157668
214.501963,-73.64634773,-75.3567133,-75.16108517
215.506101,-73.58664578,-75.32642521,-75.17030326
216.491981,-73.60422584,-75.30266973,-75.22311375
217.496118,-73.59034709,-75.2984464,-75.2708453
218.500255,-73.57103815,-75.29459914,-75.29826852
219.504392,-73.54870494,-75.23839285,-75.28961057
220.508529,-73.52415177,-75.1781664,-75.32316107
221.49441,-73.50243199,-75.15349208,-75.31951724
222.498547,-73.47939388,-75.13201689,-75.33058813
223.502684,-73.43381144,-75.09603588,-75.29596239
224.506821,-73.40111205,-75.08601826,-75.31398212
225.510958,-73.36363345,-75.03899775,-75.27237109
226.496839,-73.3291091,-75.02034998,-75.33868604
227.500976,-73.29376283,-75.01909531,-75.3318184
228.505113,-73.23698195,-74.98751996,-75.33288165
229.490993,-73.20371795,-74.9508489,-75.3258318
230.49513,-73.15667483,-74.91981246,-75.33407862
231.499268,-73.11955286,-74.86624574,-75.32267124
232.503405,-73.0711407,-74.84483716,-75.29059174
233.507542,-73.05091983,-74.80150303,-75.2556919
234.493422,-73.00900927,-74.7785461,-75.23421388
235.497559,-72.96791717,-74.77022781,-75.2399224
236.501697,-72.93671807,-74.7166982,-75.19226878
237.505834,-72.88264383,-74.68964434,-75.13333448
238.509971,-72.83672179,-74.66460024,-75.10401117
239.495851,-72.76615218,-74.63880419,-75.04514165
240.499988,-72.71570608,-74.60194516,-75.06396204
241.504126,-72.66355999,-74.56727002,-75.04247151
242.490006,-72.61357799,-74.52971214,-74.99666569
243.494143,-72.52828521,-74.48515573,-74.97982372
244.49828,-72.45811437,-74.4611988,-74.97558174
245.502417,-72.4027916,-74.42718421,-74.92778108
246.506554,-72.35189096,-74.39633119,-74.91199749
247.492435,-72.32488001,-74.35960679,-74.81459596
248.496572,-72.30613949,-74.30343377,-74.82900894
249.500709,-72.27515022,-74.23544173,-74.79207657
250.504846,-72.2147401,-74.15831322,-74.76857547
251.508983,-72.15952756,-74.07473876,-74.68970452
252.494864,-72.12576433,-74.05136508,-74.69238044
253.499001,-72.06062115,-73.98927189,-74.65949207
254.503138,-72.01721614,-73.92787492,-74.59251496
255.489018,-71.92977928,-73.85693872,-74.56587879
256.493155,-71.86215766,-73.86454602,-74.56367147
257.497293,-71.80081318,-73.79571628,-74.51553246
258.50143,-71.73880318,-73.76680839,-74.46779079
259.505567,-71.71229945,-73.71913994,-74.43808089
