Lon,Lat,NASC,,,,,,,,,,,
144.86,34.24,3932.865041,,,,,,,,,,,
145.11,34.24,2976.223421,,,,,,,,,,,
145.36,34.24,3327.389675,,,,,,,,,,,
145.61,34.24,4028.214454,,,,,,,,,,,
145.61,34.49,4355.723387,,,,,,,,,,,
145.86,34.49,8949.765597,,,,,,,,,,,
146.11,34.49,11997.3321,,,,,,,,,,,
146.36,34.49,10342.46521,,,,,,,,,,,
146.61,34.49,11101.13302,,,,,,,,,,,
146.61,34.74,8707.709719,,,,,,,,,,,
146.86,34.74,7878.252738,,,,,,,,,,,
147.11,34.74,9404.179448,,,,,,,,,,,
147.36,34.74,11057.68639,,,,,,,,,,,
147.36,34.99,6787.442611,,,,,,,,,,,
147.61,34.74,11253.76378,,,,,,,,,,,
147.61,34.99,10688.06331,,,,,,,,,,,
147.86,34.99,10733.14986,,,,,,,,,,,
148.11,34.99,8135.324357,,,,,,,,,,,
148.11,35.24,8861.846637,,,,,,,,,,,
148.11,35.49,7373.177627,,,,,,,,,,,
148.11,35.74,1144.62158,,,,,,,,,,,
148.11,35.99,1464.825377,,,,,,,,,,,
148.11,36.24,1166.999362,,,,,,,,,,,
148.11,36.49,802.7401145,,,,,,,,,,,
148.11,36.74,1275.508165,,,,,,,,,,,
148.11,36.99,891.5946528,,,,,,,,,,,
148.11,37.24,1431.812477,,,,,,,,,,,
148.11,37.49,3231.708859,,,,,,,,,,,
148.11,37.74,4319.904184,,,,,,,,,,,
148.11,37.99,4716.013071,,,,,,,,,,,
148.11,38.24,4343.72902,,,,,,,,,,,
148.36,35.24,9160.233027,,,,,,,,,,,
148.36,38.24,3787.861091,,,,,,,,,,,
148.61,35.24,9126.122093,,,,,,,,,,,
148.61,38.24,2817.522436,,,,,,,,,,,
148.61,38.49,3805.048204,,,,,,,,,,,
148.86,35.49,7289.624447,,,,,,,,,,,
148.86,38.49,3586.802019,,,,,,,,,,,
149.11,35.49,7538.952871,,,,,,,,,,,
149.11,35.74,9216.844704,,,,,,,,,,,
149.11,38.49,2810.337714,,,,,,,,,,,
149.36,35.74,8397.113731,,,,,,,,,,,
149.36,38.74,2782.74993,,,,,,,,,,,
149.61,35.74,8178.381879,,,,,,,,,,,
149.61,35.99,8818.131686,,,,,,,,,,,
149.61,38.74,4534.709162,,,,,,,,,,,
149.86,35.99,10094.02088,,,,,,,,,,,
149.86,37.99,2108.765573,,,,,,,,,,,
149.86,38.24,2553.327563,,,,,,,,,,,
149.86,38.49,1996.111958,,,,,,,,,,,
149.86,38.99,4639.663642,,,,,,,,,,,
150.11,34.99,12969.62192,,,,,,,,,,,
150.11,35.24,11563.89676,,,,,,,,,,,
150.11,35.99,13153.50278,,,,,,,,,,,
150.11,36.74,12276.79779,,,,,,,,,,,
150.11,36.99,6231.276543,,,,,,,,,,,
150.11,37.24,3481.245181,,,,,,,,,,,
150.11,37.49,5861.180902,,,,,,,,,,,
150.11,37.74,4648.2543,,,,,,,,,,,
150.11,37.99,3654.423501,,,,,,,,,,,
150.11,38.74,3249.777277,,,,,,,,,,,
150.11,38.99,2578.230247,,,,,,,,,,,
150.36,34.99,8814.151645,,,,,,,,,,,
150.36,35.24,10119.46348,,,,,,,,,,,
150.36,36.24,14404.96193,,,,,,,,,,,
150.36,36.49,11866.90016,,,,,,,,,,,
150.36,36.74,14141.1983,,,,,,,,,,,
150.61,34.99,9551.199718,,,,,,,,,,,
150.61,35.24,9129.86559,,,,,,,,,,,
150.61,36.24,13362.79637,,,,,,,,,,,
150.61,36.49,10197.51418,,,,,,,,,,,
150.86,34.99,8179.155255,,,,,,,,,,,
150.86,35.49,11329.05843,,,,,,,,,,,
150.86,35.99,11378.58546,,,,,,,,,,,
150.86,36.24,11584.66786,,,,,,,,,,,
150.86,36.49,12645.06567,,,,,,,,,,,
151.11,34.99,4183.270561,,,,,,,,,,,
151.11,35.49,13683.05646,,,,,,,,,,,
151.11,35.74,8186.491439,,,,,,,,,,,
151.11,35.99,12223.38066,,,,,,,,,,,
151.11,36.49,10623.81042,,,,,,,,,,,
151.36,34.99,772.7082263,,,,,,,,,,,
151.36,35.49,13176.77972,,,,,,,,,,,
151.36,35.74,11783.4249,,,,,,,,,,,
151.36,36.49,9147.754881,,,,,,,,,,,
151.36,36.74,5280.319406,,,,,,,,,,,
151.61,34.99,1197.351682,,,,,,,,,,,
151.61,35.24,9064.877675,,,,,,,,,,,
151.61,35.49,10525.18933,,,,,,,,,,,
151.61,35.74,12014.33073,,,,,,,,,,,
151.61,35.99,11510.96697,,,,,,,,,,,
151.61,36.74,5271.460799,,,,,,,,,,,
151.86,34.99,4630.265258,,,,,,,,,,,
151.86,35.24,8409.006378,,,,,,,,,,,
151.86,35.99,12428.44207,,,,,,,,,,,
151.86,36.74,4416.722432,,,,,,,,,,,
151.86,36.99,5121.665918,,,,,,,,,,,
151.86,37.99,4747.658384,,,,,,,,,,,
151.86,38.24,6955.297466,,,,,,,,,,,
151.86,38.49,5944.027982,,,,,,,,,,,
151.86,38.74,3699.996539,,,,,,,,,,,
151.86,38.99,3233.690122,,,,,,,,,,,
151.86,39.24,3517.092815,,,,,,,,,,,
151.86,40.99,186.2873388,,,,,,,,,,,
152.11,34.99,9421.439579,,,,,,,,,,,
152.11,35.99,12924.77361,,,,,,,,,,,
152.11,36.24,14097.79166,,,,,,,,,,,
152.11,36.49,10038.19771,,,,,,,,,,,
152.11,36.74,6735.255729,,,,,,,,,,,
152.11,36.99,6179.111774,,,,,,,,,,,
152.11,37.24,4443.644644,,,,,,,,,,,
152.11,37.49,4437.587488,,,,,,,,,,,
152.11,37.74,2524.812232,,,,,,,,,,,
152.11,37.99,2778.121378,,,,,,,,,,,
152.11,38.74,2842.864442,,,,,,,,,,,
152.11,38.99,3401.31509,,,,,,,,,,,
152.11,39.24,2450.271102,,,,,,,,,,,
152.11,39.49,2349.6454,,,,,,,,,,,
152.11,39.74,1758.085108,,,,,,,,,,,
152.11,39.99,1311.666807,,,,,,,,,,,
152.11,40.24,482.070997,,,,,,,,,,,
152.11,40.49,187.6719681,,,,,,,,,,,
152.11,40.74,225.1157475,,,,,,,,,,,
152.11,40.99,144.4474062,,,,,,,,,,,
152.11,41.24,665.4977578,,,,,,,,,,,
152.36,36.99,8058.976124,,,,,,,,,,,
152.36,37.24,11677.38129,,,,,,,,,,,
152.36,41.24,1763.814005,,,,,,,,,,,
152.61,37.24,10839.36609,,,,,,,,,,,
152.61,41.24,2460.782968,,,,,,,,,,,
152.61,41.49,2181.520503,,,,,,,,,,,
152.86,37.24,4726.868947,,,,,,,,,,,
152.86,37.49,3847.488396,,,,,,,,,,,
152.86,41.49,2971.824195,,,,,,,,,,,
153.11,37.49,3598.121304,,,,,,,,,,,
153.11,41.49,1334.828782,,,,,,,,,,,
153.11,41.74,962.26529,,,,,,,,,,,
153.36,37.49,3458.441662,,,,,,,,,,,
153.36,37.74,4593.041237,,,,,,,,,,,
153.36,41.74,1366.890547,,,,,,,,,,,
153.61,37.74,4194.925155,,,,,,,,,,,
153.61,41.74,1265.08952,,,,,,,,,,,
153.86,35.74,3009.988904,,,,,,,,,,,
153.86,35.99,2685.87195,,,,,,,,,,,
153.86,36.49,5969.313605,,,,,,,,,,,
153.86,36.74,10414.87516,,,,,,,,,,,
153.86,36.99,10344.29598,,,,,,,,,,,
153.86,37.74,4864.771439,,,,,,,,,,,
153.86,37.99,5083.246493,,,,,,,,,,,
153.86,38.99,1343.937305,,,,,,,,,,,
153.86,39.24,1855.263567,,,,,,,,,,,
153.86,41.99,1299.424908,,,,,,,,,,,
154.11,34.99,4518.319365,,,,,,,,,,,
154.11,35.24,5064.694086,,,,,,,,,,,
154.11,35.49,3868.382677,,,,,,,,,,,
154.11,35.74,3375.420067,,,,,,,,,,,
154.11,35.99,4574.635914,,,,,,,,,,,
154.11,36.24,5084.498548,,,,,,,,,,,
154.11,36.49,5041.577356,,,,,,,,,,,
154.11,36.99,10646.17045,,,,,,,,,,,
154.11,37.24,11385.1186,,,,,,,,,,,
154.11,37.49,10953.53476,,,,,,,,,,,
154.11,37.74,6339.333467,,,,,,,,,,,
154.11,37.99,4104.678202,,,,,,,,,,,
154.11,38.24,5421.802427,,,,,,,,,,,
154.11,38.49,5749.671671,,,,,,,,,,,
154.11,38.74,5286.248977,,,,,,,,,,,
154.11,38.99,1816.543108,,,,,,,,,,,
154.11,39.49,1650.88268,,,,,,,,,,,
154.11,39.74,1505.585487,,,,,,,,,,,
154.11,39.99,1758.478796,,,,,,,,,,,
154.11,40.24,895.6216491,,,,,,,,,,,
154.11,40.49,648.2507455,,,,,,,,,,,
154.11,40.74,742.7001543,,,,,,,,,,,
154.11,40.99,655.0282371,,,,,,,,,,,
154.11,41.24,805.5407692,,,,,,,,,,,
154.11,41.49,819.9757845,,,,,,,,,,,
154.11,41.74,827.6065186,,,,,,,,,,,
154.11,41.99,1091.343727,,,,,,,,,,,
154.36,34.99,3253.095379,,,,,,,,,,,
154.36,37.74,7483.870693,,,,,,,,,,,
154.36,37.99,3527.569461,,,,,,,,,,,
154.61,34.99,6227.246361,,,,,,,,,,,
154.61,37.99,2871.926191,,,,,,,,,,,
154.61,38.24,11125.52355,,,,,,,,,,,
154.86,34.99,6385.984055,,,,,,,,,,,
154.86,38.24,1805.678169,,,,,,,,,,,
154.86,38.49,1687.442714,,,,,,,,,,,
155.11,34.99,6677.848947,,,,,,,,,,,
155.11,38.49,2175.253755,,,,,,,,,,,
155.36,34.99,5492.097979,,,,,,,,,,,
155.36,38.49,1552.664733,,,,,,,,,,,
155.36,38.74,790.223289,,,,,,,,,,,
155.61,34.99,4715.688044,,,,,,,,,,,
155.61,38.74,1669.894934,,,,,,,,,,,
155.86,34.99,3816.338841,,,,,,,,,,,
155.86,36.99,4781.150791,,,,,,,,,,,
155.86,38.74,2523.958133,,,,,,,,,,,
155.86,38.99,3847.286767,,,,,,,,,,,
156.11,34.99,4651.347621,,,,,,,,,,,
