Lon,Lat,NASC,,,,,,,,,,,
143.74,33.92,5562.504038,,,,,,,,,,,
143.99,33.92,4476.452435,,,,,,,,,,,
144.24,33.92,4831.717094,,,,,,,,,,,
144.49,33.92,8794.144926,,,,,,,,,,,
144.49,34.17,11417.86958,,,,,,,,,,,
144.74,34.17,9890.599572,,,,,,,,,,,
144.99,34.17,3674.098769,,,,,,,,,,,
145.24,34.17,4300.732697,,,,,,,,,,,
145.49,34.17,5927.414174,,,,,,,,,,,
145.49,34.42,5336.448813,,,,,,,,,,,
145.74,34.42,5953.169783,,,,,,,,,,,
145.99,34.42,10694.52499,,,,,,,,,,,
146.24,34.42,8521.447571,,,,,,,,,,,
146.24,34.67,8727.74148,,,,,,,,,,,
146.49,34.67,7678.904446,,,,,,,,,,,
146.74,34.67,10868.43465,,,,,,,,,,,
146.99,34.67,10791.34393,,,,,,,,,,,
147.24,34.67,11063.29744,,,,,,,,,,,
147.24,34.92,11937.09538,,,,,,,,,,,
147.49,34.67,13.00759283,,,,,,,,,,,
147.49,34.92,11172.28833,,,,,,,,,,,
147.74,34.67,5.775566462,,,,,,,,,,,
147.74,34.92,9025.499135,,,,,,,,,,,
147.99,34.67,164.7422707,,,,,,,,,,,
147.99,34.92,9887.776478,,,,,,,,,,,
147.99,35.17,12310.85075,,,,,,,,,,,
147.99,35.42,13143.58215,,,,,,,,,,,
147.99,35.67,12428.98322,,,,,,,,,,,
147.99,35.92,9221.534201,,,,,,,,,,,
147.99,36.17,8884.316972,,,,,,,,,,,
147.99,36.42,7567.370589,,,,,,,,,,,
147.99,36.67,4832.84548,,,,,,,,,,,
147.99,36.92,3820.501398,,,,,,,,,,,
147.99,37.67,841.3931118,,,,,,,,,,,
147.99,37.92,1006.530818,,,,,,,,,,,
147.99,38.17,1161.825429,,,,,,,,,,,
148.24,34.67,288.9703658,,,,,,,,,,,
148.24,36.92,2295.785031,,,,,,,,,,,
148.24,37.17,945.8092041,,,,,,,,,,,
148.24,37.42,591.3644663,,,,,,,,,,,
148.24,37.67,689.6140003,,,,,,,,,,,
148.24,38.17,1715.34223,,,,,,,,,,,
148.49,34.67,302.8602143,,,,,,,,,,,
148.49,34.92,1412.954621,,,,,,,,,,,
148.49,38.17,1360.771822,,,,,,,,,,,
148.49,38.42,2367.42334,,,,,,,,,,,
148.74,34.92,3248.496828,,,,,,,,,,,
148.74,38.42,2725.400496,,,,,,,,,,,
148.99,34.92,1596.040265,,,,,,,,,,,
148.99,38.42,6735.796714,,,,,,,,,,,
148.99,38.67,9872.156231,,,,,,,,,,,
148.99,39.67,3350.554814,,,,,,,,,,,
149.24,34.92,1933.097228,,,,,,,,,,,
149.24,35.17,443.785271,,,,,,,,,,,
149.24,35.42,54794.12227,,,,,,,,,,,
149.24,35.67,9476.209234,,,,,,,,,,,
149.24,38.67,7370.400134,,,,,,,,,,,
149.24,39.42,4313.5288,,,,,,,,,,,
149.24,39.67,4096.961718,,,,,,,,,,,
149.49,34.92,1209.442186,,,,,,,,,,,
149.49,35.17,448.1599666,,,,,,,,,,,
149.49,35.67,8064.474499,,,,,,,,,,,
149.49,38.67,10108.69293,,,,,,,,,,,
149.49,39.17,7563.144384,,,,,,,,,,,
149.49,39.42,5449.693903,,,,,,,,,,,
149.49,39.67,3413.790063,,,,,,,,,,,
149.74,34.92,12013.26001,,,,,,,,,,,
149.74,35.67,9293.515447,,,,,,,,,,,
149.74,35.92,11751.87462,,,,,,,,,,,
149.74,38.92,11605.18391,,,,,,,,,,,
149.74,39.17,6096.476607,,,,,,,,,,,
149.74,39.67,4737.032858,,,,,,,,,,,
149.99,34.92,10579.88825,,,,,,,,,,,
149.99,35.17,11908.65409,,,,,,,,,,,
149.99,35.42,10655.24879,,,,,,,,,,,
149.99,35.67,11993.20091,,,,,,,,,,,
149.99,35.92,11107.57871,,,,,,,,,,,
149.99,36.17,10391.26768,,,,,,,,,,,
149.99,36.42,8820.866307,,,,,,,,,,,
149.99,36.92,3540.823758,,,,,,,,,,,
149.99,37.17,4000.26522,,,,,,,,,,,
149.99,37.42,3666.893686,,,,,,,,,,,
149.99,37.67,1745.915623,,,,,,,,,,,
149.99,37.92,3644.806724,,,,,,,,,,,
149.99,38.92,11169.02685,,,,,,,,,,,
149.99,39.17,8689.499162,,,,,,,,,,,
149.99,39.67,5080.908547,,,,,,,,,,,
150.24,34.92,11281.88149,,,,,,,,,,,
150.24,35.92,9897.863462,,,,,,,,,,,
150.24,36.42,9825.14128,,,,,,,,,,,
150.24,36.67,6185.435519,,,,,,,,,,,
150.24,36.92,6184.252828,,,,,,,,,,,
150.24,37.92,4951.974602,,,,,,,,,,,
150.24,38.67,5006.652039,,,,,,,,,,,
150.24,38.92,5935.582695,,,,,,,,,,,
150.24,39.17,8878.736526,,,,,,,,,,,
150.24,39.67,6499.373304,,,,,,,,,,,
150.49,34.92,10279.82742,,,,,,,,,,,
150.49,35.92,8071.979007,,,,,,,,,,,
150.49,36.17,7008.086442,,,,,,,,,,,
150.49,37.92,3342.001031,,,,,,,,,,,
150.49,38.67,5181.914599,,,,,,,,,,,
150.49,39.17,10325.52303,,,,,,,,,,,
150.49,39.67,6868.762817,,,,,,,,,,,
150.74,34.92,8576.194434,,,,,,,,,,,
150.74,36.17,7168.346647,,,,,,,,,,,
150.74,37.92,1622.012318,,,,,,,,,,,
150.74,38.42,4296.791497,,,,,,,,,,,
150.74,38.67,5462.688374,,,,,,,,,,,
150.74,39.42,6324.604258,,,,,,,,,,,
150.74,39.67,5930.873479,,,,,,,,,,,
150.99,34.92,8138.35244,,,,,,,,,,,
150.99,36.17,4902.201631,,,,,,,,,,,
150.99,36.42,4388.866025,,,,,,,,,,,
150.99,37.92,1385.350935,,,,,,,,,,,
150.99,38.17,1045.024987,,,,,,,,,,,
150.99,38.42,2393.344127,,,,,,,,,,,
150.99,39.42,4868.057639,,,,,,,,,,,
150.99,39.67,5976.851607,,,,,,,,,,,
151.24,34.92,6914.686231,,,,,,,,,,,
151.24,36.42,4830.222844,,,,,,,,,,,
151.24,37.92,1638.016423,,,,,,,,,,,
151.24,38.17,976.2838234,,,,,,,,,,,
151.24,39.67,4055.026095,,,,,,,,,,,
151.49,34.92,6927.507816,,,,,,,,,,,
151.49,36.42,4594.262473,,,,,,,,,,,
151.49,37.92,1323.623814,,,,,,,,,,,
