Lon,Lat,SST,SSS,SSH,Chl,O2,Nppv,MLD,East,North,EKE,Up
143.74,33.92,22.56806607,34.55841319,0.975726068,0.096935146,225.0734406,2.493246555,18.05214214,-0.126685845,0.131752157,0.016703967,-1.16E-07
143.99,33.92,22.26301893,34.59072749,0.984455539,0.123457268,226.0116882,3.149069309,17.70690431,-0.071354775,0.065115373,0.004665758,-8.03E-07
144.24,33.92,21.69141557,34.60660172,0.984875063,0.151675582,226.1367798,3.977010012,18.37243515,-0.024022811,0.070215098,0.002753628,-7.27E-07
144.49,33.92,21.59501394,34.61879603,0.988514205,0.163645804,225.5635834,4.456779003,20.66737578,0.116338606,0.08836285,0.010671332,-5.58E-07
144.49,34.17,22.07610703,34.58894942,0.952641659,0.113979928,223.5734863,3.360765457,16.38718065,0.183312274,-0.114092328,0.023310225,-5.48E-07
144.74,34.17,22.05552228,34.5721355,0.915933854,0.110501766,223.4304504,3.28230691,15.4750167,0.328401652,-0.157566287,0.06633739,-5.39E-07
144.99,34.17,22.09883181,34.52652317,0.871450769,0.108715594,223.3904724,3.220274687,16.03189309,0.426401526,-0.174814214,0.106189135,-8.15E-07
145.24,34.17,22.19678391,34.48283429,0.82349252,0.110839292,223.5762634,3.292132139,18.12039057,0.528387037,-0.168363669,0.153769593,-3.84E-07
145.49,34.17,22.23249986,34.45897208,0.786253366,0.120727412,224.2699432,3.871489763,19.39447721,0.604193939,-0.085510431,0.186181175,-4.88E-07
145.49,34.42,22.63456196,34.45081753,0.567196588,0.126261011,224.6552887,4.445734501,29.13361571,0.96635341,-0.200602776,0.487040193,-1.51E-06
145.74,34.42,22.72121599,34.44151984,0.559717486,0.136834681,225.2790985,4.80903101,31.87458568,1.016458995,0.20537674,0.537684247,-4.71E-07
145.99,34.42,22.63035499,34.43330722,0.635707392,0.161394149,226.3798218,5.869029045,28.92273373,0.777252694,0.434997208,0.39667216,-3.36E-07
146.24,34.42,21.8781965,34.48015552,0.735255056,0.189978778,226.7584991,7.132043839,23.46719805,0.474104898,0.533724566,0.254818683,-1.67E-06
146.24,34.67,22.46204503,34.4405009,0.571161151,0.193882763,227.1251526,7.431012154,20.8226063,0.646385464,0.919565631,0.631707559,-1.07E-07
146.49,34.67,21.70855734,34.57964028,0.745105545,0.192867443,226.9435272,7.385164261,29.41982502,0.350923181,0.780132578,0.365876959,-3.79E-07
146.74,34.67,21.3624098,34.58393775,0.871073763,0.144929677,226.600174,4.690966606,31.82270728,0.084727984,0.518241356,0.137876467,-6.92E-07
146.99,34.67,21.41414621,34.5448388,0.972957929,0.105126925,226.3321228,2.863394022,36.79061211,-0.011338145,0.648249686,0.210178104,-1.06E-06
