Lon,Lat,SST,SSS,SSH,Chl,O2,Nppv,MLD,East,North,EKE,Up
144.86,34.24,29.51111878,34.08114243,0.900746107,0.160708606,205.9164581,7.664489746,20.93558629,0.793793056,-0.414469626,0.400946243,-2.70E-07
145.11,34.24,29.53002781,34.0648507,0.782487267,0.187713012,206.3742218,9.510148048,19.79766316,1.116867324,-0.41737831,0.710798636,2.39E-07
145.36,34.24,29.43744469,34.05651898,0.676143722,0.203576773,206.7931824,10.52865601,19.58634228,1.411600232,-0.265153921,1.031460909,-4.08E-08
145.61,34.24,29.31952349,34.04727597,0.631656074,0.201311201,207.0480042,10.6190834,19.88541264,1.500813617,0.074067782,1.128963774,-6.53E-08
145.61,34.49,27.8216114,34.0098042,0.145490664,0.253040582,208.6030273,13.64552021,16.9351813,1.511723836,0.123174925,1.15024051,2.17E-07
145.86,34.49,28.14344576,34.02985297,0.25653548,0.234492734,208.3372803,12.87204742,17.88503753,1.355648809,0.792079157,1.232586542,-4.83E-07
146.11,34.49,28.88105138,34.01711019,0.514686773,0.212325379,207.8549347,11.73722839,18.83588706,1.010885,1.218446407,1.253250065,-7.21E-08
146.36,34.49,28.92003928,34.04535548,0.768166251,0.18095772,207.0733032,9.597637177,17.28699663,0.575433996,1.0502441,0.717068476,-6.55E-08
146.61,34.49,28.62249438,34.11608802,0.93700803,0.148943141,206.3861237,7.321621895,17.39733526,0.316253328,0.785659565,0.35863856,-3.19E-07
146.61,34.74,24.72361978,34.26481692,0.983799381,0.154554382,218.5108337,6.568267584,22.26029619,-0.141727399,0.504532429,0.137319814,-1.79E-07
146.86,34.74,24.75237793,34.27691375,1.057050933,0.135111965,218.2779541,5.235602021,21.71888558,-0.115181313,0.291640244,0.049160383,-1.84E-07
147.11,34.74,24.67577373,34.28044489,1.082716889,0.113545686,218.0105133,3.648484707,21.36989392,-0.063539172,0.034278266,0.002606113,-7.45E-07
147.36,34.74,24.47727998,34.27563858,1.076158192,0.108163808,218.2946701,3.247466922,22.21727255,-0.087631962,-0.034396216,0.00443123,-3.34E-08
147.36,34.99,27.61478424,34.14520348,0.993843185,0.094373308,205.6499023,3.181973934,17.4734727,0.101774018,0.243966533,0.03493881,-4.63E-08
147.61,34.74,21.17824809,34.45427322,1.116116338,0.119126014,230.558197,3.429067373,26.36639531,-0.340745974,-0.181915763,0.074600582,8.87E-07
147.61,34.99,24.22242143,34.38072141,1.097003559,0.117449623,218.1534653,3.616704702,20.75042571,0.057491516,0.002338991,0.001655373,-5.43E-07
